Running random walk with restart...
100 of 26317 (183.80 s) ...
200 of 26317 (329.42 s) ...
300 of 26317 (456.07 s) ...
400 of 26317 (582.18 s) ...
500 of 26317 (701.20 s) ...
600 of 26317 (815.45 s) ...
700 of 26317 (940.33 s) ...
800 of 26317 (1049.85 s) ...
900 of 26317 (1159.24 s) ...
1000 of 26317 (1266.73 s) ...
1100 of 26317 (1368.81 s) ...
1200 of 26317 (1487.78 s) ...
1300 of 26317 (1608.14 s) ...
1400 of 26317 (1716.32 s) ...
1500 of 26317 (1818.19 s) ...
1600 of 26317 (1920.83 s) ...
1700 of 26317 (2037.89 s) ...
1800 of 26317 (2152.54 s) ...
1900 of 26317 (2262.60 s) ...
2000 of 26317 (2371.87 s) ...
2100 of 26317 (2463.85 s) ...
2200 of 26317 (2569.00 s) ...
2300 of 26317 (2681.65 s) ...
2400 of 26317 (2784.30 s) ...
2500 of 26317 (2896.64 s) ...
2600 of 26317 (3006.16 s) ...
2700 of 26317 (3114.47 s) ...
2800 of 26317 (3222.22 s) ...
2900 of 26317 (3336.67 s) ...
3000 of 26317 (3452.46 s) ...
3100 of 26317 (3546.09 s) ...
3200 of 26317 (3660.52 s) ...
3300 of 26317 (3760.53 s) ...
3400 of 26317 (3859.38 s) ...
3500 of 26317 (3973.05 s) ...
3600 of 26317 (4076.56 s) ...
3700 of 26317 (4175.24 s) ...
3800 of 26317 (4286.63 s) ...
3900 of 26317 (4399.88 s) ...
4000 of 26317 (4514.17 s) ...
4100 of 26317 (4618.23 s) ...
4200 of 26317 (4733.13 s) ...
4300 of 26317 (4848.30 s) ...
4400 of 26317 (4958.25 s) ...
4500 of 26317 (5065.78 s) ...
4600 of 26317 (5164.48 s) ...
4700 of 26317 (5279.35 s) ...
4800 of 26317 (5394.00 s) ...
4900 of 26317 (5509.09 s) ...
5000 of 26317 (5612.77 s) ...
5100 of 26317 (5726.11 s) ...
5200 of 26317 (5839.45 s) ...
5300 of 26317 (5953.69 s) ...
5400 of 26317 (6061.76 s) ...
5500 of 26317 (6171.26 s) ...
5600 of 26317 (6286.99 s) ...
5700 of 26317 (6393.98 s) ...
5800 of 26317 (6487.50 s) ...
5900 of 26317 (6581.36 s) ...
6000 of 26317 (6677.53 s) ...
6100 of 26317 (6770.49 s) ...
6200 of 26317 (6862.80 s) ...
6300 of 26317 (6964.37 s) ...
6400 of 26317 (7070.19 s) ...
6500 of 26317 (7169.01 s) ...
6600 of 26317 (7272.84 s) ...
6700 of 26317 (7386.49 s) ...
6800 of 26317 (7488.02 s) ...
6900 of 26317 (7580.77 s) ...
7000 of 26317 (7673.32 s) ...
7100 of 26317 (7765.05 s) ...
7200 of 26317 (7860.29 s) ...
7300 of 26317 (7969.54 s) ...
7400 of 26317 (8065.80 s) ...
7500 of 26317 (8158.71 s) ...
7600 of 26317 (8251.30 s) ...
7700 of 26317 (8364.85 s) ...
7800 of 26317 (8466.46 s) ...
7900 of 26317 (8577.93 s) ...
8000 of 26317 (8690.95 s) ...
8100 of 26317 (8787.65 s) ...
8200 of 26317 (8880.04 s) ...
8300 of 26317 (8974.45 s) ...
8400 of 26317 (9088.05 s) ...
8500 of 26317 (9201.39 s) ...
8600 of 26317 (9294.17 s) ...
8700 of 26317 (9389.74 s) ...
8800 of 26317 (9486.50 s) ...
8900 of 26317 (9600.02 s) ...
9000 of 26317 (9713.44 s) ...
9100 of 26317 (9806.20 s) ...
9200 of 26317 (9906.46 s) ...
9300 of 26317 (9996.54 s) ...
9400 of 26317 (10089.12 s) ...
9500 of 26317 (10201.89 s) ...
9600 of 26317 (10314.25 s) ...
9700 of 26317 (10419.10 s) ...
9800 of 26317 (10528.64 s) ...
9900 of 26317 (10632.89 s) ...
10000 of 26317 (10725.81 s) ...
10100 of 26317 (10839.48 s) ...
10200 of 26317 (10948.65 s) ...
10300 of 26317 (11056.63 s) ...
10400 of 26317 (11158.96 s) ...
10500 of 26317 (11254.35 s) ...
10600 of 26317 (11362.20 s) ...
10700 of 26317 (11453.29 s) ...
10800 of 26317 (11543.38 s) ...
10900 of 26317 (11653.61 s) ...
11000 of 26317 (11765.44 s) ...
11100 of 26317 (11862.48 s) ...
11200 of 26317 (11974.73 s) ...
11300 of 26317 (12087.36 s) ...
11400 of 26317 (12195.14 s) ...
11500 of 26317 (12290.52 s) ...
11600 of 26317 (12392.09 s) ...
11700 of 26317 (12503.19 s) ...
11800 of 26317 (12615.03 s) ...
11900 of 26317 (12725.82 s) ...
12000 of 26317 (12841.19 s) ...
12100 of 26317 (12929.78 s) ...
12200 of 26317 (13036.82 s) ...
12300 of 26317 (13149.00 s) ...
12400 of 26317 (13249.17 s) ...
12500 of 26317 (13339.35 s) ...
12600 of 26317 (13436.46 s) ...
12700 of 26317 (13539.92 s) ...
12800 of 26317 (13651.65 s) ...
12900 of 26317 (13754.24 s) ...
13000 of 26317 (13845.85 s) ...
13100 of 26317 (13946.15 s) ...
13200 of 26317 (14036.97 s) ...
13300 of 26317 (14132.02 s) ...
13400 of 26317 (14223.24 s) ...
13500 of 26317 (14313.60 s) ...
13600 of 26317 (14403.50 s) ...
13700 of 26317 (14506.00 s) ...
13800 of 26317 (14617.32 s) ...
13900 of 26317 (14729.52 s) ...
14000 of 26317 (14836.65 s) ...
14100 of 26317 (14948.40 s) ...
14200 of 26317 (15049.85 s) ...
14300 of 26317 (15139.26 s) ...
14400 of 26317 (15229.05 s) ...
14500 of 26317 (15329.71 s) ...
14600 of 26317 (15442.28 s) ...
14700 of 26317 (15553.59 s) ...
14800 of 26317 (15664.92 s) ...
14900 of 26317 (15764.50 s) ...
15000 of 26317 (15872.43 s) ...
15100 of 26317 (15983.45 s) ...
15200 of 26317 (16093.64 s) ...
15300 of 26317 (16186.79 s) ...
15400 of 26317 (16298.81 s) ...
15500 of 26317 (16409.63 s) ...
15600 of 26317 (16509.20 s) ...
15700 of 26317 (16598.36 s) ...
15800 of 26317 (16687.04 s) ...
15900 of 26317 (16776.26 s) ...
16000 of 26317 (16865.67 s) ...
16100 of 26317 (16976.27 s) ...
16200 of 26317 (17088.13 s) ...
16300 of 26317 (17185.90 s) ...
16400 of 26317 (17294.10 s) ...
16500 of 26317 (17399.06 s) ...
16600 of 26317 (17488.20 s) ...
16700 of 26317 (17587.98 s) ...
16800 of 26317 (17699.32 s) ...
16900 of 26317 (17810.50 s) ...
17000 of 26317 (17921.96 s) ...
17100 of 26317 (18033.28 s) ...
17200 of 26317 (18144.67 s) ...
17300 of 26317 (18256.46 s) ...
17400 of 26317 (18367.83 s) ...
17500 of 26317 (18471.79 s) ...
17600 of 26317 (18583.04 s) ...
17700 of 26317 (18688.28 s) ...
17800 of 26317 (18776.68 s) ...
17900 of 26317 (18877.27 s) ...
18000 of 26317 (18979.07 s) ...
18100 of 26317 (19085.29 s) ...
18200 of 26317 (19196.54 s) ...
18300 of 26317 (19307.33 s) ...
18400 of 26317 (19418.74 s) ...
18500 of 26317 (19529.51 s) ...
18600 of 26317 (19617.86 s) ...
18700 of 26317 (19709.17 s) ...
18800 of 26317 (19820.66 s) ...
18900 of 26317 (19932.30 s) ...
19000 of 26317 (20042.15 s) ...
19100 of 26317 (20153.65 s) ...
19200 of 26317 (20265.44 s) ...
19300 of 26317 (20376.30 s) ...
19400 of 26317 (20487.10 s) ...
19500 of 26317 (20584.92 s) ...
19600 of 26317 (20690.05 s) ...
19700 of 26317 (20801.45 s) ...
19800 of 26317 (20912.52 s) ...
19900 of 26317 (21023.16 s) ...
20000 of 26317 (21134.70 s) ...
20100 of 26317 (21246.17 s) ...
20200 of 26317 (21353.01 s) ...
20300 of 26317 (21462.32 s) ...
20400 of 26317 (21550.59 s) ...
20500 of 26317 (21638.80 s) ...
20600 of 26317 (21745.55 s) ...
20700 of 26317 (21857.06 s) ...
20800 of 26317 (21968.24 s) ...
20900 of 26317 (22079.96 s) ...
21000 of 26317 (22182.90 s) ...
21100 of 26317 (22274.56 s) ...
21200 of 26317 (22363.19 s) ...
21300 of 26317 (22473.41 s) ...
21400 of 26317 (22579.46 s) ...
21500 of 26317 (22691.83 s) ...
21600 of 26317 (22802.21 s) ...
21700 of 26317 (22914.78 s) ...
21800 of 26317 (23026.12 s) ...
21900 of 26317 (23137.94 s) ...
22000 of 26317 (23249.76 s) ...
22100 of 26317 (23357.34 s) ...
22200 of 26317 (23468.80 s) ...
22300 of 26317 (23580.51 s) ...
22400 of 26317 (23691.91 s) ...
22500 of 26317 (23802.50 s) ...
22600 of 26317 (23913.50 s) ...
22700 of 26317 (24024.94 s) ...
22800 of 26317 (24137.51 s) ...
22900 of 26317 (24249.17 s) ...
23000 of 26317 (24354.56 s) ...
23100 of 26317 (24443.54 s) ...
23200 of 26317 (24543.60 s) ...
23300 of 26317 (24652.89 s) ...
23400 of 26317 (24751.49 s) ...
23500 of 26317 (24860.21 s) ...
23600 of 26317 (24957.39 s) ...
23700 of 26317 (25068.37 s) ...
23800 of 26317 (25168.96 s) ...
23900 of 26317 (25276.73 s) ...
24000 of 26317 (25369.80 s) ...
24100 of 26317 (25481.71 s) ...
24200 of 26317 (25592.89 s) ...
24300 of 26317 (25705.24 s) ...
24400 of 26317 (25816.92 s) ...
24500 of 26317 (25927.95 s) ...
24600 of 26317 (26039.71 s) ...
24700 of 26317 (26150.60 s) ...
24800 of 26317 (26261.31 s) ...
24900 of 26317 (26372.26 s) ...
25000 of 26317 (26483.34 s) ...
25100 of 26317 (26594.40 s) ...
25200 of 26317 (26701.19 s) ...
25300 of 26317 (26798.58 s) ...
25400 of 26317 (26910.22 s) ...
25500 of 26317 (27021.67 s) ...
25600 of 26317 (27132.63 s) ...
25700 of 26317 (27243.94 s) ...
25800 of 26317 (27354.71 s) ...
25900 of 26317 (27465.98 s) ...
26000 of 26317 (27577.36 s) ...
26100 of 26317 (27677.44 s) ...
26200 of 26317 (27787.62 s) ...
26300 of 26317 (27899.01 s) ...
Running random walk with restart... Done.
Adjacent cache info: CacheInfo(hits=0, misses=26317, maxsize=2, currsize=2)
Adjacent-and-prob cache info: CacheInfo(hits=3889797, misses=1366887, maxsize=1000000, currsize=1000000)
Step cache info: CacheInfo(hits=3946057855, misses=1441291, maxsize=1000000, currsize=1000000)
